idLugar	FLAG_alandalus	nisba	major_toponym	nombre	nombre_castellano	lat	lng	idLugarALT
LUG00596	1	القشتالي		قشتالة (قرية)	Qaštāla (La Zubia)	37.1197161	-3.5843792	
LUG00595	1	الشلوبانيي		شلوبانية / شلوبينية	Salobreña	36.7429438	-3.5850658	
LUG00419	1	العقابي		العقاب	Navas de Tolosa	38.2869444	-3.5863889	
LUG01019	1	القنجي		قنجة (قرية)	Cónchar	36.966389	-3.588056	
LUG00502	1	الالفنتي		الفنت(قرية)	Deifontes	37.3390781	-3.5913939	
LUG00568	1	الأفرخشي		أفرخش (قرية)	El Frage	37.3894296	-3.5917104	
LUG00127	1	الإلبيري		شون (إلبيرة)	Jun	37.220556	-3.594444	
LUG01277	1	السكوني		سكون (قرية)	Jun ?	37.220556	-3.594444	
LUG00704	1	الشالوسي		شالوس_قرية [من إقليم الأشر من غرناطة]	Saleres ?	36.929722	-3.597778	
LUG01034	1	الشلارسي		شلارس (قرية)	Saleres	36.929722	-3.597778	
LUG01518	1	NA		باب إلبيرة	Puerta (Elvira)	37.182144	-3.599567	
LUG01521	1	NA		قيسارية (غرناطة)	Alcaicería (Granada)	37.178056	-3.600833	
LUG00829	1	NA		مقبرة باب إلبيرة	Cementerio de Bāb Ilbīra	37.178056	-3.600833	
LUG00416	1	NA		مقبرة شقستر	Cementerio de Šuqastir	37.178056	-3.600833	
LUG00955	1	البيازيني		البيازين (ربض)	Albaicín	37.178056	-3.600833	
LUG00025	1	الغرناطي		غرناطة	Granada	37.178056	-3.600833	
LUG00647	1	القلجري		قلجر (قرية)	Gójar	37.1044782	-3.6035205	
LUG00648	1	الأجيجري		أجيجر	Ogíjares	37.1200095	-3.6079451	
LUG01208	1	البذولي		البذول (قرية)	El Padul	37.0215109	-3.626021	
LUG00791	1	الأرنيرهي		أرنيره (قرية)	Venta de Andar ?	37.454305	-3.630298	
LUG00309	1	الهمداني		همدان (قرية، إقليم)	Alhendín	37.107778	-3.645833	
LUG01460	1	الجريري		أبو جرر / جرير (إقليم)	Abū Ğarīr / Ğarar (iqlīm)	37.230556	-3.657222	
LUG00777	1	القولدي		قولد_قرية [من قرى إلبيرة]	Cúllar Vega ?	37.153056	-3.670556	
LUG00256	1	المنكبي		المنكب (مدينة)	Almuñécar	36.733889	-3.691111	
LUG00524	1	المجريطي		مجريط	Madrid	40.418889	-3.691944	
LUG00222	1	المنتيشي		منتيشة	La Guardia	37.741944	-3.6925	
LUG00006	1	الإلبيري		إلبيرة	Elvira	37.231148	-3.708329	
LUG00558	1	القربساني		قربسانة (قرية)	Caparacena	37.265	-3.7138889	
LUG00773	1	الملاحي		الملاحة	La Malahá	37.101712	-3.721669	
LUG00929	1	القنتيشي		قنتيش (جبل)	Jabalquinto	38.019526	-3.725588	
LUG01406	1	الشوشي		شوش	El Jau ?	37.196111	-3.740833	
LUG01447	1	NA		ربض الندامى	Arrabal de al-Nadāmà	40.463667	-3.74922	
LUG01448	1	البلكوني		بلكونة	Porcuna	40.463667	-3.74922	
LUG01488	1	القنبي		قنب قيس (إقليم)	Quempe o Temple (iqlīm)	37.061944	-3.761111	
LUG00049	1	الجياني		جيان	Jaén	37.769722	-3.788889	
LUG00723	1	الفنداقي		الفنداق (حومة )	* al-Fundāq	37.769722	-3.788889	
LUG00246	1	الرباحي		قلعة رباح / قلعة الرباح	Calatrava la Vieja	39.074339	-3.832522	
LUG00851	1	الأفرليشي		أفرليش	Frailes	37.4866445	-3.8381772	
LUG00567	1	الابري		ابرة (قرية) [من إقليم أونيل]	* Abra	37.250556	-3.858056	
LUG01397	1	الولمشي		ولمش	Olmos	40.141667	-3.917222	
LUG01522	1	المغامي		مغام	Magán	39.96	-3.931944	
LUG01539	0	الناكوري		ناكور	Nākūr	35.24917	-3.93278	
LUG01541	0	المزمي		المزمة	Alhucemas	35.25	-3.933333	
LUG00458	0	النكوري		نكور	Nakkur	35.25	-3.933333	
LUG00400	1	NA		صخرة الواد (قرية)	*Peña del río ?	37.44511	-3.946944	
LUG00007	1	NA		قلعة يحصب	Alcalá la Real	37.44511	-3.946944	
LUG00443	1	NA		قلعة بني سعيد	Alcalá la Real	37.44511	-3.946944	
LUG01275	1	الأشعثي		قلعة الأشعث	Alcalá la Real	37.44511	-3.946944	
LUG00556	1	القلعي		القلعة (حصن)	Alcalá la Real	37.44511	-3.946944	
LUG01285	1	الطرشي		طرش	Torrox	36.7544783	-3.9514923	
LUG00465	1	NA		وادي الحمة	Río Alhama	36.9457376	-3.9651408	
LUG00751	1	المارتشي		مارتش	Martos	37.72213	-3.968844	
LUG00809	1	NA		الحمة_حصن [من كورة ريه]	Alhama de Granada	37.0025	-3.98839	
LUG00917	1	المنتفريدي		منتفريد (حصن)	Montefrío	37.32085	-4.005126	
LUG01538	1	الالأركي		الأرك	Alarcos	38.9571	-4.01017	
LUG00847	1	اليعشيشي		يعشيش (قرية)	Batarxis	36.798056	-4.011944	
LUG00079	0	التازى		تازى، رباط	Taza	34.216667	-4.016667	
LUG00942	0	التازي		مكناسة تازة	Taza	34.216667	-4.016667	
LUG00563	1	البرغشي		برغش	Bargas	39.94	-4.019444	
LUG01440	1	NA		ربض طليطلة	Arrabal (Toledo)	39.866667	-4.033333	
LUG00043	1	الطليطلي		طليطلة	Toledo	39.866667	-4.033333	
LUG00758	1	القورتي		قورت (قرية)	* Cuarto ?	37.196508	-4.046857	
LUG00711	1	الأندوجري		أندوجر/ أندوشر	Andújar	38.04047	-4.054912	
LUG01290	1	الأرجوني		أرجونة	Arjona	37.935682	-4.061769	
LUG01487	1	NA		البلاط (قرية)	*al-Balāṭ	38.845833	-4.063611	
LUG00427	1	الكركي		كركي	Caracuel	38.845833	-4.063611	
LUG00384	1	القبداقي		القبذاق / قبداق	Alcaudete	37.5893	-4.08999	
LUG01533	1	الشكنبي		شكنب (قرية)	Agicampe	37.2075	-4.099394	
LUG01380	1	الشمجلي		شمجلة	Chauchillas	36.783333	-4.1	
LUG00385	1	البلشي		بلش/ بليش (حصن، مدينة)	Vélez-Málaga	36.7799228	-4.1005589	
LUG00820	1	NA		المدور الأقصى	Almodóvar del Campo	38.718611	-4.166667	
LUG00726	1	البشكلاري		بشكلار (قرية)	Llanos de Pezcolar (Porcuna) (alquería)	37.869722	-4.187222	
LUG00237	1	الباغهي		باغه	Priego	37.438685	-4.194618	
LUG00022	1	الوقشي		وقش	Huecas	40.011389	-4.195278	
LUG00628	1	القمارشي		قمارش	Comares	36.8489746	-4.2482103	
LUG01095	1	اللكي		لك (حصن)	Luque	37.5583389	-4.277358	
LUG00051	0	السجلماسي		سجلماسة	Siğilmāsa	31.28	-4.28	
LUG01540	0	الباديسي		باديس	Bādīs	35.172581	-4.300803	
LUG00892	1	الاشري		الاشر	Iznájar	37.2571916	-4.3070793	
LUG00330	1	البياني		بيانة	Baena	37.613621	-4.326602	
LUG00343	1	المكادي		مكادة (قرية)	Maqueda	40.067983	-4.368483	
LUG00413	1	المنتوري		منتور (حصن)	Montoro	38.021674	-4.382812	
LUG00514	1	الأرجذوني		أرجذونة	Archidona	37.0951534	-4.3879947	
LUG00862	1	NA		جبل فاروق	Gibralfaro	36.7235111	-4.4107111	
LUG00026	1	المالقي		مالقة	Málaga	36.716667	-4.416667	
LUG00532	1	البلدي		بلدة	Belda (Cuevas de San Marcos)	37.26694	-4.41761	
