idNisba	nombre	nombre_castellano	cat1
NIS00237	الإيادي	al-Iyādī	_NISBA_TRIBAL
NIS00241	الحارثي	al-Ḥāriṯī	_NISBA_TRIBAL
NIS00242	الأشعري	al-Ašʿarī	_NISBA_TRIBAL
NIS00253	العنسي	ʿAnsī	_NISBA_TRIBAL
NIS00255	العوفي	al-ʽAwfī	_NISBA_TRIBAL
NIS00266	الزناتي	al-Zanātī	_NISBA_TRIBAL
NIS00270	البلوي	al-Balawī	_NISBA_TRIBAL
NIS00273	الدارمي	NA	_NISBA_TRIBAL
NIS00274	الهمذاني	al-Ḥamaḏānī	_NISBA_TRIBAL
NIS00286	السلولي	al-Salūlī	_NISBA_TRIBAL
NIS00290	الأنماري	al-Anmārī	_NISBA_TRIBAL
NIS00291	الساعدي	al-Sāʽdī	_NISBA_TRIBAL
NIS00294	الحميدي	al-Ḥumaydī	_NISBA_TRIBAL
NIS00299	الجدلي	al-Ğadalī	_NISBA_TRIBAL
NIS00300	السلماني	al-Salmānī	_NISBA_TRIBAL
NIS00304	الفهمي	al-Fahmī	_NISBA_TRIBAL
NIS00306	الحماني	al-Ḥimmānī	_NISBA_TRIBAL
NIS00308	المددي	NA	_NISBA_TRIBAL
NIS00309	ييي	NA	_NISBA_TRIBAL
NIS00311	الجرشي	al-Ğarašī/al-Ğurašī	_NISBA_TRIBAL
NIS00315	العقيلي	al-ʿUqaylī	_NISBA_TRIBAL
NIS00333	السليمي	NA	_NISBA_TRIBAL
NIS00347	الوردميشي	al-Wardamīšī	_NISBA_TRIBAL
NIS00485	الأودي	al-Awdī	_NISBA_TRIBAL
NIS00356	الدوسى	NA	_NISBA_TRIBAL
NIS00358	المهري	al-Mahrī	_NISBA_TRIBAL
NIS00373	العجيسي	al-ʿAğīsī	_NISBA_TRIBAL
NIS00378	العكاشي	Al-ʿUkkāšī	_NISBA_TRIBAL
NIS00388	الزبيدي	al-Zubaydī	_NISBA_TRIBAL
NIS00585	الركلاوي	NA	_NISBA_TRIBAL
NIS00402	اليعمري	al‑Yaʿmarī	_NISBA_TRIBAL
NIS00584	السلاقي	al-Sulāqī	_NISBA_TRIBAL
NIS00408	الحسيني	al-Ḥusaynī	_NISBA_TRIBAL
NIS00410	اللمطي	al-Lamṭī	_NISBA_TRIBAL
NIS00411	الفازازي	al-Fāzāzī	_NISBA_TRIBAL
NIS00413	اليفوفي	NA	_NISBA_TRIBAL
NIS00415	الزبيري	al-Zubayrī	_NISBA_TRIBAL
NIS00417	الأميي	al-Umayyī	_NISBA_TRIBAL
NIS00433	الضراري	الضراري	_NISBA_TRIBAL
NIS00434	العثماني	al-ʽUṯmānī	_NISBA_TRIBAL
NIS00438	الأمي	al-ِِAmī	_NISBA_TRIBAL
NIS00439	الدوسي	al-Dawsī	_NISBA_TRIBAL
NIS00460	الهذلي	al-Huḏalī	_NISBA_TRIBAL
NIS00470	الجراوي	al-Ğurāwī	_NISBA_TRIBAL
NIS00471	الركوني	al-Rakūnī	_NISBA_TRIBAL
NIS00472	الرهوني	al-Rahūnī	_NISBA_TRIBAL
NIS00474	القحطاني	al-Qaḥṭānī	_NISBA_TRIBAL
NIS00482	العمري	al-ʿUmarī	_NISBA_TRIBAL
NIS00486	العكي	al-ʿAkkī	_NISBA_TRIBAL
NIS00488	السماتي	al-Sumātī	_NISBA_TRIBAL
NIS00491	النجاري	al-Nağğārī	_NISBA_TRIBAL
NIS00586	الصريحي	al-Ṣurayḥī	_NISBA_TRIBAL
NIS00494	السعيدي	al-Saʿīdī	_NISBA_TRIBAL
NIS00505	البرزالي	al-Birzālī	_NISBA_TRIBAL
NIS00506	الطلبي	al-Ṭalbī	_NISBA_TRIBAL
NIS00507	الربعي	al-Rabaʿī	_NISBA_TRIBAL
NIS00509	البرغواطي	al-Bargawāṭī	_NISBA_TRIBAL
NIS00510	السهمي	al-Sahmī	_NISBA_TRIBAL
NIS00512	الشعبي	al-Šaʽabī	_NISBA_TRIBAL
NIS00528	البحتري	al-Buḥturī	_NISBA_TRIBAL
NIS00530	البرجمي	al-Burğumī	_NISBA_TRIBAL
NIS00534	المغراوي	al-Magrāwī	_NISBA_TRIBAL
NIS00541	البهراني	al-Bahrānī	_NISBA_TRIBAL
NIS00543	السليحي	al-Salīḥī	_NISBA_TRIBAL
NIS00545	القيني	al-Qaynī	_NISBA_TRIBAL
NIS00547	العكلي	al-ʿUklī	_NISBA_TRIBAL
NIS00548	التيمي	al-Taymī	_NISBA_TRIBAL
NIS00549	المازني	al-Māzinī	_NISBA_TRIBAL
NIS00557	اليربوعي	al-Yarbūʽī	_NISBA_TRIBAL
NIS00572	الجعيدي	al‑Ğuʿaydī	_NISBA_TRIBAL
NIS00574	السبائي	al-Sabāʾī	_NISBA_TRIBAL
NIS00575	الألهاني	al-Ilhānī	_NISBA_TRIBAL
NIS00578	الصديني	al-Ṣaddīnī	_NISBA_TRIBAL
NIS00602	اليفرني / الإفراني	al-Yfranī / al-Ifrānī	_NISBA_TRIBAL
NIS00606	الغطفاني	al-Gaṭafānī	_NISBA_TRIBAL
NIS00607	السمطي	al-Samṭī	_NISBA_TRIBAL
NIS00608	النسائي	al-Nasāʾī	_NISBA_TRIBAL
NIS00609	العدواني	al-ʽAdwānī	_NISBA_TRIBAL
NIS00611	الغوثي	al-Gawṯī	_NISBA_TRIBAL
NIS00612	التغمري	Tagmarī	_NISBA_TRIBAL
NIS00613	العجلاني	al-ʿAğlānī	_NISBA_TRIBAL
NIS00623	الوحانسي	al-Waḥānisī	_NISBA_TRIBAL
NIS00624	التوزني	al-Tūzinī	_NISBA_TRIBAL
NIS00625	البقوي	al-Baquwī	_NISBA_TRIBAL
NIS00626	اليفراسني	al-Yfrāsanī	_NISBA_TRIBAL
NIS00633	الرياحي	al-Riyaḥī	_NISBA_TRIBAL
NIS00634	الصفواني	al-Ṣafwānī	_NISBA_TRIBAL
NIS00636	العوفية	al-ʿAwfiyya	_NISBA_TRIBAL
NIS00642	المغيلي	al-Magīlī	_NISBA_TRIBAL
NIS00643	الأزداجي	al-Azdāǧī	_NISBA_TRIBAL
NIS00645	النخعي	al-Naḫaʿī	_NISBA_TRIBAL
