idNisba	nombre	nombre_castellano	cat1	gender	nombre_original
NIS00555	الرومي	al-Rūmī	_NISBA_GEOGRAFICA	m	الرومي
NIS00248	الريي	al-Rayyī	_NISBA_GEOGRAFICA	m	الريي
NIS00503	الزبادي	al-Zabādī	_NISBA_GEOGRAFICA	m	الزبادي
NIS00175	الزنقي	al-Zanqī	_NISBA_GEOGRAFICA	m	الزنقي
NIS00261	الزهراوي	al-Zahrawī	_NISBA_GEOGRAFICA	m	الزهراوي
NIS00440	السالمي	al-Sālimī	_NISBA_GEOGRAFICA	m	السالمي
NIS00011	السبتي	al-Sabtī	_NISBA_GEOGRAFICA	m	السبتي
NIS00065	السبتي	al-Sabtī	_NISBA_GEOGRAFICA	m	السبتي
NIS00391	السجلماسي	al-Siğilmāssī	_NISBA_GEOGRAFICA	m	السجلماسي
NIS00454	السرتي	al-Surtī	_NISBA_GEOGRAFICA	m	السرتي
NIS00118	السرقسطي	al-Saraqusṭī	_NISBA_GEOGRAFICA	m	السرقسطي
NIS00210	السفاقسي	al-Safāqusī	_NISBA_GEOGRAFICA	m	السفاقسي
NIS00580	السلاوي	al-Salāwī	_NISBA_GEOGRAFICA	m	السلاوي
NIS00477	السلماسي	al-Salmāsī	_NISBA_GEOGRAFICA	m	السلماسي
NIS00551	السمنتاني	al-Sumuntānī	_NISBA_GEOGRAFICA	m	السمنتاني
NIS00519	السنهوري	al-Sanhūrī	_NISBA_GEOGRAFICA	m	السنهوري
NIS00570	السهيلي	al-Suhaylī	_NISBA_GEOGRAFICA	m	السهيلي
NIS00244	السوسي	al-Sūsī	_NISBA_GEOGRAFICA	m	السوسي
NIS00489	الشارقي	al-Šāriqī	_NISBA_GEOGRAFICA	m	الشارقي
NIS00424	الشاري	al-Šārrī	_NISBA_GEOGRAFICA	m	الشاري
NIS00536	الشاشي	al-Šāšī	_NISBA_GEOGRAFICA	m	الشاشي
NIS00156	الشاطبي	al-Šāṭibī	_NISBA_GEOGRAFICA	m	الشاطبي
NIS00514	الشامي	al-Šāmī	_NISBA_GEOGRAFICA	m	الشامي
NIS00199	الشبيني	al-Šabīnī	_NISBA_GEOGRAFICA	m	الشبيني
NIS00367	الشذوني	al-Šaḏūnī	_NISBA_GEOGRAFICA	m	الشذوني
NIS00103	الشريشي	al-Šarīšī	_NISBA_GEOGRAFICA	m	الشريشي
NIS00571	الشريوني	al-Šarriyyūnī	_NISBA_GEOGRAFICA	m	الشريوني
NIS00463	الشقري	NA	_NISBA_GEOGRAFICA	m	الشقري
NIS00205	الشقندي	al-Šaqundī	_NISBA_GEOGRAFICA	m	الشقندي
NIS00164	الشقوري	al-Šaqūrī	_NISBA_GEOGRAFICA	m	الشقوري
NIS00292	الشلبي	al-Šilbī	_NISBA_GEOGRAFICA	m	الشلبي
NIS00441	الشلطيشي	al-Šalṭīšī	_NISBA_GEOGRAFICA	m	الشلطيشي
NIS00544	الشمنتاني	al-Šumuntānī	_NISBA_GEOGRAFICA	m	الشمنتاني
NIS00593	الشمنتي	al-Šumuntī	_NISBA_GEOGRAFICA	m	الشمنتي
NIS00469	الشنتجالي	al-Šantağālī	_NISBA_GEOGRAFICA	m	الشنتجالي
NIS00256	الشنتريتي	NA	_NISBA_GEOGRAFICA	m	الشنتريتي
NIS00204	الشنتريني	al-Šantarīnī	_NISBA_GEOGRAFICA	m	الشنتريني
NIS00322	الشنتمري	al-Šantamarī	_NISBA_GEOGRAFICA	m	الشنتمري
NIS00515	الشهرزوري	al-Šahrazūrī	_NISBA_GEOGRAFICA	m	الشهرزوري
NIS00227	الصقلي	al-Siqillī	_NISBA_GEOGRAFICA	m	الصقلي
NIS00546	الصنعاني	al-Ṣanaʽānī	_NISBA_GEOGRAFICA	m	الصنعاني
NIS00553	الطالقي	al-Ṭāliqī	_NISBA_GEOGRAFICA	m	الطالقي
NIS00198	الطبلاطي	NA	_NISBA_GEOGRAFICA	m	الطبلاطي
NIS00307	الطبني	al-Ṭubnī	_NISBA_GEOGRAFICA	m	الطبني
NIS00418	الطرسوسي	al-Ṭarsūsī	_NISBA_GEOGRAFICA	m	الطرسوسي
NIS00365	الطرسوني	al-Ṭarasūnī	_NISBA_GEOGRAFICA	m	الطرسوني
NIS00002	الطرطوشي	al-Ṭurṭūšī	_NISBA_GEOGRAFICA	m	الطرطوشي
NIS00450	الطرياني	al-Ṭriyānī	_NISBA_GEOGRAFICA	m	الطرياني
NIS00282	الطلمنكي	al-Ṭalamankī	_NISBA_GEOGRAFICA	m	الطلمنكي
NIS00064	الطليطلي	al-Ṭulayṭulī	_NISBA_GEOGRAFICA	m	الطليطلي
NIS00258	الطنجي	al-Ṭanğī	_NISBA_GEOGRAFICA	m	الطنجي
NIS00495	الطندثائي	NA	_NISBA_GEOGRAFICA	m	الطندثائي
NIS00587	العدوي	al-ʿIdwī	_NISBA_GEOGRAFICA	m	العدوي
NIS00110	العراقي	al-ʽIrāqī	_NISBA_GEOGRAFICA	m	العراقي
NIS00341	الغافقي	al-Gāfiqī	_NISBA_GEOGRAFICA	m	الغافقي
NIS00588	الغرليطشي	al-Garlīṭašī	_NISBA_GEOGRAFICA	m	الغرليطشي
NIS00055	الغرناطي	al-Garnāṭī	_NISBA_GEOGRAFICA	m	الغرناطي
NIS00371	الفارسي	al-Fārsī	_NISBA_GEOGRAFICA	m	الفارسي
NIS00213	الفاسي	al-Fāsī	_NISBA_GEOGRAFICA	m	الفاسي
NIS00389	الفرتليلي	al-Furtulīlī	_NISBA_GEOGRAFICA	m	الفرتليلي
NIS00239	الفريشي	al-Firrīšī	_NISBA_GEOGRAFICA	m	الفريشي
NIS00556	الفسوي	al-Fasawī	_NISBA_GEOGRAFICA	m	الفسوي
NIS00374	الفنتوري	al-Funtūrī	_NISBA_GEOGRAFICA	m	الفنتوري
NIS00614	الفندلاوي	al-Findalāwī	_NISBA_GEOGRAFICA	m	الفندلاوي
NIS00376	الفنطوري	al-Funṭūrī	_NISBA_GEOGRAFICA	m	الفنطوري
NIS00499	القادسي	al-Qādisī	_NISBA_GEOGRAFICA	m	القادسي
NIS00409	القاصرشي	al-Qāṣirašī 	_NISBA_GEOGRAFICA	m	القاصرشي
NIS00583	القانصي	al-Qānisī	_NISBA_GEOGRAFICA	m	القانصي
NIS00208	القبذاقي	al-Qabḏaqī	_NISBA_GEOGRAFICA	m	القبذاقي
NIS00226	القبري	al-Qabrī	_NISBA_GEOGRAFICA	m	القبري
NIS00088	القبطلي	NA	_NISBA_GEOGRAFICA	m	القبطلي
NIS00375	القبطوري	al-Qabṭūrī	_NISBA_GEOGRAFICA	m	القبطوري
NIS00422	القربلياني	Al-Qarbalyānī	_NISBA_GEOGRAFICA	m	القربلياني
NIS00056	القرطبي	al-Qurṭubī	_NISBA_GEOGRAFICA	m	القرطبي
NIS00265	القرطبي	al-Qurṭubiyya	_NISBA_GEOGRAFICA	f	القرطبية
NIS00114	القرموني	al-Qarmūnī	_NISBA_GEOGRAFICA	m	القرموني
NIS00140	القروي	al-Qarawī	_NISBA_GEOGRAFICA	m	القروي
NIS00554	القسطلي	al-Qasṭallī (al-Qaysīṭallī)	_NISBA_GEOGRAFICA	m	القسطلي (القيسيطلي)
NIS00542	القشتليوني	al‑Qaštilyūnī	_NISBA_GEOGRAFICA	m	القشتليوني
NIS00362	القصري	al-Qaṣrī	_NISBA_GEOGRAFICA	m	القصري
NIS00458	القطبي	NA	_NISBA_GEOGRAFICA	m	القطبي
NIS00350	القطيني	NA	_NISBA_GEOGRAFICA	m	القطيني
NIS00538	القفصي	al-Qafsī	_NISBA_GEOGRAFICA	m	القفصي
NIS00302	القلعي	al-Qalaʽī	_NISBA_GEOGRAFICA	m	القلعي
NIS00589	القالوشي	al-Qallūsī	_NISBA_GEOGRAFICA	m	القللوسي/القالوسي/القالوشي
NIS00492	القنائي	al-Qinnāʾ ī	_NISBA_GEOGRAFICA	m	القنائي
NIS00592	القنسري	al-Qinnasrī	_NISBA_GEOGRAFICA	m	القنسري
NIS00430	القوري	al-Qarawī	_NISBA_GEOGRAFICA	m	القوري
NIS00301	القونكي	al-Qūnkī	_NISBA_GEOGRAFICA	m	القونكي
NIS00401	القيجاطي	al-Qayğāṭī	_NISBA_GEOGRAFICA	m	القيجاطي
NIS00122	القيرواني	al-Qayrawānī	_NISBA_GEOGRAFICA	m	القيرواني
NIS00521	الكانمي	al-Kānimī	_NISBA_GEOGRAFICA	m	الكانمي
NIS00271	الكبتوري	al-Kabṭūrī	_NISBA_GEOGRAFICA	m	الكبتوري
